condition,variant,size,h_plan,lam,t_reeval,n_seeds,scr,fht,dead_loop_rate,new_states_per_step,success_rate,pe_nav,pe_search,pe_acquire,dscr_vs_flat,dfht_vs_flat,dscr_vs_random,dfht_vs_random
layered_lam1_h20_t25,A,15,20,1.0,25,12,0.4918,157.5,0.16,0.7161,1.0,0.9479,,,0.2152,10.5,0.0692,-115.1
layered_lam1_h20_tnever,A,15,20,1.0,,12,0.4926,158.0,0.1598,0.7152,1.0,0.9479,,,0.2159,11.0,0.07,-114.6
layered_lam1_h50_t10,A,15,50,1.0,10,12,0.51,166.67,0.1666,0.6999,1.0,0.982,,,0.2333,19.67,0.0874,-105.93
layered_lam1_h50_t25,A,15,50,1.0,25,12,0.51,166.67,0.1666,0.6999,1.0,0.982,,,0.2333,19.67,0.0874,-105.93
layered_lam1_h50_tnever,A,15,50,1.0,,12,0.51,166.67,0.1666,0.6999,1.0,0.982,,,0.2333,19.67,0.0874,-105.93
layered_lam2_h100_t10,A,15,100,2.0,10,12,0.6519,235.5,0.1657,0.6389,1.0,0.9878,,,0.3752,88.5,0.2293,-37.1
layered_lam2_h100_t25,A,15,100,2.0,25,12,0.6519,235.5,0.1657,0.6389,1.0,0.9878,,,0.3752,88.5,0.2293,-37.1
layered_lam2_h100_tnever,A,15,100,2.0,,12,0.6519,235.5,0.1657,0.6389,1.0,0.9878,,,0.3752,88.5,0.2293,-37.1
layered_lam2_h20_t10,A,15,20,2.0,10,12,0.4889,156.0,0.1568,0.723,1.0,0.9486,,,0.2122,9.0,0.0663,-116.6
layered_lam2_h20_t25,A,15,20,2.0,25,12,0.4967,160.33,0.1581,0.7104,1.0,0.9477,,,0.22,13.33,0.0741,-112.27
layered_lam2_h20_tnever,A,15,20,2.0,,12,0.4974,160.83,0.1578,0.7096,1.0,0.9477,,,0.2208,13.83,0.0748,-111.77
layered_lam2_h50_t10,A,15,50,2.0,10,12,0.5126,168.33,0.1665,0.6987,1.0,0.9819,,,0.2359,21.33,0.09,-104.27
layered_lam2_h50_t25,A,15,50,2.0,25,12,0.5126,168.33,0.1665,0.6987,1.0,0.9819,,,0.2359,21.33,0.09,-104.27
layered_lam2_h50_tnever,A,15,50,2.0,,12,0.5126,168.33,0.1665,0.6987,1.0,0.9819,,,0.2359,21.33,0.09,-104.27
layered_laminf_h100_t10,A,15,100,inf,10,12,0.6519,235.5,0.1657,0.6389,1.0,1.0969,,,0.3752,88.5,0.2293,-37.1
layered_laminf_h100_t25,A,15,100,inf,25,12,0.6519,235.5,0.1657,0.6389,1.0,1.0969,,,0.3752,88.5,0.2293,-37.1
layered_laminf_h100_tnever,A,15,100,inf,,12,0.6519,235.5,0.1657,0.6389,1.0,1.0969,,,0.3752,88.5,0.2293,-37.1
layered_laminf_h20_t10,A,15,20,inf,10,12,0.4978,161.17,0.1574,0.7091,1.0,1.0876,,,0.2211,14.17,0.0752,-111.43
layered_laminf_h20_t25,A,15,20,inf,25,12,0.4978,161.17,0.1574,0.7091,1.0,1.0876,,,0.2211,14.17,0.0752,-111.43
layered_laminf_h20_tnever,A,15,20,inf,,12,0.4978,161.17,0.1574,0.7091,1.0,1.0876,,,0.2211,14.17,0.0752,-111.43
layered_laminf_h50_t10,A,15,50,inf,10,12,0.5126,168.33,0.1665,0.6987,1.0,1.0853,,,0.2359,21.33,0.09,-104.27
layered_laminf_h50_t25,A,15,50,inf,25,12,0.5126,168.33,0.1665,0.6987,1.0,1.0853,,,0.2359,21.33,0.09,-104.27
layered_laminf_h50_tnever,A,15,50,inf,,12,0.5126,168.33,0.1665,0.6987,1.0,1.0853,,,0.2359,21.33,0.09,-104.27
random_goal,A,15,50,1.0,,12,0.4226,272.6,0.1901,0.3244,0.8333,0.9827,,,,,0.0,0.0
flat_count,B,15,50,1.0,,12,0.217,-1,0.0245,0.0957,0.0,,,,0.0,,,
layered_lam0.5_h100_t10,B,15,100,0.5,10,12,0.4485,173.33,0.1938,0.7314,0.75,0.9345,0.9908,0.8753,0.2315,,0.1167,-95.67
layered_lam0.5_h100_t25,B,15,100,0.5,25,12,0.4485,173.33,0.1938,0.7314,0.75,0.9345,0.9908,0.8753,0.2315,,0.1167,-95.67
layered_lam0.5_h100_tnever,B,15,100,0.5,,12,0.4485,173.33,0.1938,0.7314,0.75,0.9345,0.9908,0.8753,0.2315,,0.1167,-95.67
layered_lam0.5_h20_t10,B,15,20,0.5,10,12,0.3593,116.67,0.1853,0.7723,0.75,0.9051,0.9826,0.8753,0.1422,,0.0274,-152.33
layered_lam0.5_h20_t25,B,15,20,0.5,25,12,0.3593,116.89,0.1852,0.772,0.75,0.905,0.9826,0.8753,0.1422,,0.0274,-152.11
layered_lam0.5_h20_tnever,B,15,20,0.5,,12,0.3593,116.89,0.1852,0.772,0.75,0.905,0.9826,0.8753,0.1422,,0.0274,-152.11
layered_lam0.5_h50_t10,B,15,50,0.5,10,12,0.3415,104.0,0.1948,0.7832,0.75,0.9315,0.9908,0.8753,0.1244,,0.0096,-165.0
layered_lam0.5_h50_t25,B,15,50,0.5,25,12,0.3415,104.0,0.1948,0.7832,0.75,0.9315,0.9908,0.8753,0.1244,,0.0096,-165.0
layered_lam0.5_h50_tnever,B,15,50,0.5,,12,0.3415,104.0,0.1948,0.7832,0.75,0.9315,0.9908,0.8753,0.1244,,0.0096,-165.0
layered_lam0_h100_t10,B,15,100,0.0,10,12,0.4537,182.8,0.1945,0.7542,0.8333,0.9372,0.9505,0.7814,0.2367,,0.1218,-86.2
layered_lam0_h100_t25,B,15,100,0.0,25,12,0.4537,182.8,0.1945,0.7542,0.8333,0.9372,0.9505,0.7814,0.2367,,0.1218,-86.2
layered_lam0_h100_tnever,B,15,100,0.0,,12,0.4537,182.8,0.1945,0.7542,0.8333,0.9372,0.9505,0.7814,0.2367,,0.1218,-86.2
layered_lam0_h20_t10,B,15,20,0.0,10,12,0.2829,93.0,0.1555,0.7086,0.6667,0.9043,0.8051,0.8753,0.0659,,-0.0489,-176.0
layered_lam0_h20_t25,B,15,20,0.0,25,12,0.2829,93.0,0.1552,0.7086,0.6667,0.9042,0.8051,0.8753,0.0659,,-0.0489,-176.0
layered_lam0_h20_tnever,B,15,20,0.0,,12,0.2829,93.0,0.1552,0.7086,0.6667,0.9042,0.8051,0.8753,0.0659,,-0.0489,-176.0
